,Date,user_id,comments,cleaned_comments
10,"December  5, 2018  4:42AM",flightnurse, which E84? turbo 6?,6 e84 performance
11,"December  5, 2018  4:58AM",roadburner,N20; it's my wife's new DD.,wifes new dd n20
12,"December  5, 2018 12:35PM",benjaminh,"ELL sales for Nov....  C-Class 5,777 -3.7% ES 4,222 +8% 3series 3,218 -47.9% Q50 2,819 -34.3% TLX 2,457 -4.2% IS 1,830 -25.5% A4 1,635 -45% MKZ 1,440 -25.7% Giulia 912 +21% S60 688 -14.9%",sales es cmercedesss 343 1bmw 479 45 5777 8 149 2457 audi0 255 3series 1830 1635 ell alfaromeo 257 688 3218 audi 21 4222 acurax 37 42 2819 912 nov lincoln
13,"December  5, 2018 12:44PM",sda,"With the sedan market in a downfall, the TLX held up pretty well. I don’t see the appeal of the ES. It gets expensive fast when equipped nicely and that front end styling!",styling es market see gets held front sedan nicely appeal fast equipped ’ well expensive acurax downfall preaudiy end
14,"December  5, 2018  1:46PM",stickguy,I assume the S60 will take a big uptick in a couple months when the new design hits the lots. There are next to no new 2018s left now.,2018s uptick big months audi0 left assume couple take design next hits lots new
15,"December  5, 2018  1:47PM",stickguy,"and holy moley, they 3 series has really hit the skids. that used to sell a ton more.",bmw really sell used ton skids moley holy hit
16,"December  5, 2018  4:06PM",flightnurse, They are on the lots now.,lots
17,"December  5, 2018  4:07PM",flightnurse," The new G20 is coming and people are waiting for them,",waiting people new g20 coming
18,"December  5, 2018  4:12PM",stickguy,I’d rather take a blow out lease on a 2018. But I’m cheap!,2018 blow lease take ’ rather cheap
19,"December  5, 2018  5:55PM",flightnurse," Most people would, but the G20 has taken the 3 series to a new level, the M340i will be nipping at the read end of the M3, but the downside is the G20 will not get a manuel. But right now BMW is offering 3K lease money but the MF is high. My 330i was 47K which is about average for what is on the lots right now, Getting roughly 10% off MSRP you will be looking at mid to high $400/m before tax",bmwi lease money people 3k msrp geaudiing downside looking roughly 10 mf manuel 47k taken average tax level mid 400m read bmw would nipping get lots high new mercedesmw right g20 end offering
20,"December  7, 2018 11:56PM",flightnurse,"This guy has some great videos, here is another one.",vidvolkswagen guy another one great
21,"December 19, 2018  4:17AM",flightnurse,"So after some ""talks"" with my insurance company they have decided to total my 330i, total repair cost is $17K at first they weren't going to total but gave me an early XMAS present. I think I have narrow my choice to a MB E63. Have driven 2 of them, gob's of power/torque the seats are uber comfortable too, the V8 rumble is addictive!",bmwi going driven company think performance e63 decided werent performanceperformance comfortable early rumercedesle gave cost xmas addictive gobs total 17k talks first choice insurance secadillac present maintenance 2 mercedes narrow uber
22,"December 23, 2018  7:15AM",brian125, There is excellent lease cash on 2018 Q50's. I see a ton of them on the roads in the NYC area. 5k to over 7k in lease cash . A nice lease buy.,2018 lease see nyc roads 5k buy hyundailent 7k nice area cash ton audi0s
23,"December 24, 2018  4:22PM",henryn,"  I’m definitely not seeing that. I just checked the web page for the closest Infiniti dealer. They have a lease special up for a 2019 Infiniti Q50 3.0t Luxe -- $299 a month for 39 months (no mention of miles), with $5,099 due at signing. $5,099 divided by 39, that’s another $131 a month, so for a sign-and-drive you’re looking at $430 per month against a retail price of $39,295. And that does not include tax, title, and license.",lease luxe due signanddrive 39295 tiacurae months month license infiniti 131 audi0 include miles another looking signing special divided 2019 seeing ’ web tax definitely mention 39 retail dealer 5099 bmw page per checked price closest 299 30t
24,"December 25, 2018  6:30AM",flightnurse,   Why are you taking what the manufacture post as the final deal? BMW does this all the time and you can ALWAYS get a better deal at the dealership than what the web page shows.,deal dealership post always taking beaudier web time shows bmw page get final manufacture
25,"December 25, 2018  6:11PM",henryn," That wasn't the manufacturer (Infiniti), that was the closest Infiniti dealer, on their web site. They had some decent deals on buying a new car or SUV, but terrible deals on leasing. Possibly because no one (or almost no one?) leases a car in Texas?  I work with a lot of people who make good money (in some cases, great money), and some of them drive very nice cars. Probably half of them drive older or less expensive cars, and spend all of their money on other things, houses, college tuition, you know the drill.  But among the ""car"" group, I only know of one who is leasing, a very nice Lexus SUV. And at the time she got that SUV, she was dating someone who worked at the dealership.",drill leasing deals people houses college decent manufacturer work leases almost great dealer site texas half money tuition dealership know cases lexus nice expensive someone drive buying good possibly new wasnt less make time closest things spend suv among probably cars infiniti group got terrible dating lot older one web worked car
26,"January  9, 2019  1:04AM",sweendogy,ELLPS - 2013 s4 (8.5) 49k miles. All good with rig (Knock on wood). 19 3 series looks legit but bang for buck the G70 looks like it might be the king here. Price and warrantee real nice - performs like a nice gt car and the looks are spectacular. Long live the sedan.,bang king wood 49k might live warrantee ford knock spectacular 19 miles sedan rig legit long hyundai audi like performs looks nice buck 85 real bmw car good price 2013 ellps
27,"November  2, 2018  6:31PM",Michaell," Which is really $439/mo when you amortize the cap reduction.  A $791 dealer discount on an almost $39k car is laughably small - we routinely tell folks to target 7% off sticker, before incentives, and some folks have reported getting more than that.  The 320i goes away for 2019, so you should be able to do much better than the national offer. And, that is a true statement for just about every brand.",tell bmwi 439mo really geaudiing much true statement target reported 791 goes 2019 small national sticker amortize routinely beaudier reduction almost folks incentives 7 every dealer cap car offer able away discount 39k laughably brand
28,"November  2, 2018  6:34PM",stickguy,"Plus another $1,400 DAS for TTL",das tacura another plus 1400
29,"November  2, 2018  6:34PM",benjaminh,"""Infiniti 2019 Q50 2.0T $299 / MONTH LEASE For 39 Months with $5,099 Initial Payment MSRP $36,545 includes destination charge. Net capitalized cost of $30,256 includes a $700 non-refundable acquisition fee. Retailer contribution may affect actual price set by retailer. Monthly payments total $11,661. At lease end, purchase for $18,638 plus $300 purchase option fee.""  https://www.infinitiusa.com/offers.html#category=New+Offers",lease purchase includes plus monthly 30256 msrp months end month 18638 affect actual haudipswwwinfinitiusacomoffershtmlcategorynewoffers infiniti capitalized audi0 net option nonrefundable may cost 2019 payments total 300 contribution retailer 39 11661 36545 700 destination 5099 20t charge initial price acquisition 299 fee set payment
30,"November  2, 2018  6:35PM",stickguy,Never saw a purchase option fee before.,never purchase option fee saw
31,"November  2, 2018  6:36PM",henryn,"Look, if you're going to be posting these kinds of deals, then do the math first. That $5k down makes this a BAD deal.",going deals makes posting bad look deal youre 5k math first kinds
32,"November  2, 2018  6:41PM",benjaminh,"TLX V-6  ""2019 TLX 9 Speed Automatic Featured Special Lease $339 Per month for 36 months. $2,799 Total due at signing. MSRP $37,195.00 (includes destination, excludes tax, license, title fee, registration, documentation fee, options, insurance and the like). Actual net capitalized cost $30,244.94. Net capitalized cost includes $595 acquisition fee. Dealer contribution may vary and could affect actual lease payment. Total monthly payments $12,204.00. Option to purchase at lease end $19,713.35.""  https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=40205",options lease 339 due 9 purchase performance tiacurae includes performance monthly msrp months license month affect actual vary capitalized 3719500 3024494 performance featured net option signing special 1220400 may cost 36 2019 payments total could 2799 1971bmw insurance documentation 595 contribution tax like haudipswwwacuracomtoolscurrenacurauxurycarsuvoffersleasingzipcode40205 acurax dealer destination registration excludes per acquisition fee end payment
33,"November  2, 2018  6:41PM",Michaell," Fair point- better yet, peruse the model specific lease threads for real world examples. You can get a Q50 3.0T for that kind of payment.",point lease yet kind fair 30t world audi0 payment examples beaudier peruse threads real get brand specific
34,"November  2, 2018  6:42PM",benjaminh," I'm not saying these are good deals. Just posting what the official offers are right now for entry-level luxury cars for comparison. I agree that 5k down makes this a strange lease. And I'm guessing that almost everyone can do better than these official offers, but they do provide a starting point for comparison for ELL cars right now. Some or maybe all of these offers are new starting Nov. 1.",point lease deals entrylevel comfort official posting makes everyone cars 5k im comparison saying starting ell guessing provide beaudier maybe 1 nov agree almost offers good new right strange
35,"November  2, 2018  6:44PM",stickguy,TL is right around $410 sign and drive. Not terrible.  I think most nationally advertised lease offers are lousy deals.,lease deals think sign 410 terrible around acura nationally advertised offers lousy drive right
36,"November  3, 2018 12:31PM",kyfdx,It says right on the disclosure that the dealer discount is $791. That's never going to translate into a good lease deal.,never going lease translate deal 791 says dealer good thcadillac right discount disclosure
37,"November  3, 2018  4:49PM",Mr_Shiftright," Yes but he just made up a new word ""Normalicy"".  My two cents is that a car burning a teensy bit of oil between changes is actually a good thing---upper cylinder lube and all that.",thingupper word burning actually yes two cents bit changes normalicy lube made car performance oil teensy good new
38,"November  3, 2018  6:43PM",stickguy,"being at the 3/4 mark after 5,000 miles maybe. But blowing through a quart in 1-2K miles, that is wrong.",mark miles blowing 34 maybe 12k 5000 wrong quart
39,"November  3, 2018  7:06PM",roadburner," It depends on the car; my Club Sport has averaged 2,500 miles/qt since new and it just passed 146,000 miles. It's never worried me in the slightest.",never averaged performance 2500 milesqt 146000 miles depends slightest passed club since car new worried
40,"November  3, 2018 10:04PM",Mr_Shiftright,"An engine could burn oil for 300K miles, as long as you keep an eye on it. I suppose if it got really excessive it might affect the catalytic, but it would have to be a real mosquito fogger to do that.  I can tolerate 1 quart between changes, not a concern for me either.",fogger really burn might affect performance eye got miles suppose either changes long could tolerate 1 mosquito keep concern catalytic real quart would oil 300k excessive
41,"November  3, 2018 10:08PM",henryn,I've owned a couple of cars that would be down 1 quart after 2 or 3 thousand miles. I always just changed the oil when it got down 1 quart. That was before everyone started going to the extended oil change intervals.,going ive changed started everyone cars change got miles always couple 1 intervals quart would 2 extended oil 3 owned thousand
42,"November  4, 2018  1:33AM",sda,"My '71 Vega GT burned a quart every 150 miles. The joke was check the gas and fill up with oil. It always started and never left me stranded. Had to clean the #3 plug every 800 miles or so. That was in '78 and it had around 50k. The '06 Passat 2.0t that I bought in '07 burned a quart (synthetic, mind you) every 800 miles. VW said that was normal. Nonsense, and my last VW.",fill 50k never check synthetic started ford 71 stranded 06 normal miles said 800 left always plug burned efficiency joke vega clean 07 every nonsense 150 quart 20t mind oil 3 bought last 78 around volkswagen
43,"November  4, 2018  2:24AM",stickguy,"I like that Vega. All it needed was a mild small block Chevy dropped in, with appropriate chassis beefing up, and good to go!",mild appropriate go small block vega dropped like needed chevrolet good beefing chassis
44,"November  4, 2018  4:23PM",jpp75,"My uncle had a 2002 DeVille that burned at least a quart of oil every 1,000 miles. Cadillac also told him that was normal. It was his first and last Cadillac.",normal least miles told uncle burned first 1000 also every quart oil last deville cadillac 2002
45,"November  4, 2018  7:35PM",flightnurse,"I'm not too sure why anyone would lease a 320i for $400+/M and put down (out of pocket) $2750.  Our X2 MSRP was $49K, sale price was 47K (not much of a discount) there was 3K BMW credits ($1500 Loyalty and 1500 lease cash) with $525 out of pocket payments are with tax $525/m ($484+ $41)  Those leader leases are that leader, and no one with their right mind would do for one of them. My 330 lease was zero out of pocket and payments of $450/m MSRP 47K but it was a service loaner.  I just don't hope we aren't going to beat a dead horse on lease prices. The old day of cheap BMW leases are gone, MF is higher and the residual isnt as high as it once was.",bmwi 49k dont im 484 maintenance prices old tax leases cheap zero dead day high 400m arent going loaner horse 3k msrp 41 much pocket mf 47k residual 525 beat bmw higher right hope x2 lease 2750 loyalty payments credits anyone gone cash mind would price isnt sale sure 525m leader put 1500 450m one discount
46,"November  4, 2018  7:38PM",flightnurse," Just because the manufacture posts that doesn't mean that is a cement deal, I just think you want to post BS stuff. I mean, Toyota has $200/m lease dealers on Camry's but you need 3K down for that deal, and that is a horrible deal.",bs lease want think 3k posts deal horrible post mean stuff toyota 200m doesnt need dealers cement manufacture
47,"November 13, 2018  9:26PM",benjaminh,"Automobile magazine likes the Lincoln Continental....  ""And, of course, everything is trimmed in chrome, from the instrument binnacle to the knurled buttons on the steering wheel. Why? Because America, pinhead. What are you, a friggin’ socialist?  But the Conti’s ace in the hole is that it is quick. Like, seriously quick—at least when equipped with the top-of-the-line engine, a twin-turbo 3.0-liter V-6 that produces an even 400 hp and 400 lb-ft of torque. No, “produces” is the wrong word—it belts out its power the way Tom Jones sings “What’s New Pussycat.” Our colleagues down the hall at Motor Trend timed a similar all-wheel-drive Continental to 60 mph in 5.4 seconds—not bad considering the aging transmission has only six speeds. And while such fleetness-of-foot isn’t exactly novel in a luxury car, it’s the icing on the cake in the Continental: Just when you get totally absorbed in its old-school absurdity, you punch the accelerator and disappear....""  https://www.automobilemag.com/news/2018-lincoln-continental-reserve-awd-quick-take/",comfort oldschool haudipswwwautomobilemagcomnews2018lincolncontinentalreserveperformancequicktake bad topoftheline cake 30liter quick—at timed performances equipped styling ’ trend buconsolens america wrong exacacuray motor tom seriously lbft absorbed pinhead ace similar “ 60 trimmed disappear considering sings novel friggin performance performance least performance jones pussycat performance socialist styling performance even icing hall new everything knurled absurdity aging performance hole automobile produces ” steering continental get punch 400 instrument word—it way course twinperformance likes performance quick tocomforty binnacle magazine belts like allstylingdrive six fleetnessoffoot performance 54 car seconds—not conti colleagues lincoln
48,"November 13, 2018  9:36PM",roadburner,I might give one a look in 24 years- when I turn 85.,24 give turn 85 years one might look
49,"November 13, 2018 10:13PM",qbrozen,"I think the conti looks great, but WAY too pricey",think way looks conti pricey great
50,"November 14, 2018 12:17AM",circlem,I might give one a look in 24 years- when I turn 85.   This is more your speed at the moment:  https://www.leftlanenews.com/bmw/3-series/la-preview-2020-bmw-m340i/,haudipswwwlefacuraanenewscomercedesmw3serieslapreview2020bmwmercedesmw performance might look moment years turn one 85 24 give
51,"November 14, 2018 12:52AM",roadburner,I hope that it lives up to Munich's promises; I'm still leaning towards an M2 Competition if I were to replace my M235i.,competition im lives still bmw35i promises towards munichs leaning bmw maintenance hope
52,"November 14, 2018  6:42PM",henryn," I could probably manage to get by with 400 hp and 400 lb-ft of torque. It would be a struggle, but sometimes you have to compromise, and settle for less than what you really want...",really setacurae want probably less manage could sometimes compromise performance performance would struggle get lbft 400
53,"November 14, 2018 10:04PM",roadburner,"A 5.4 seconds 0-60 time is merely average these days; my 2007 Mazdaspeed 3 posted an identical time. And I know it is comparing apples and oranges, but if I'm buying something that big and heavy it's going to be an M5 or a Charger Hellcat.",going 060 days dodge big oranges heavy comparing identical know im seconds posted something mazdapeed hellcat apples average time 54 bmw 3 buying merely 2007
54,"November 15, 2018  2:46AM",qbrozen,"roadburner said: A 5.4 seconds 0-60 time is merely average these days; my 2007 Mazdaspeed 3 posted an identical time. And I know it is comparing apples and oranges, but if I'm buying something that big and heavy it's going to be an M5 or a Charger Hellcat. I'd be happy with a Scat Pack and $30k change.",going id 060 days dodge big oranges heavy comparing identical know im change said seconds happy roadburner posted something mazdapeed hellcat apples pack average scat 54 time bmw 3 buying merely 30k 2007
55,"November 28, 2018  1:13AM",flightnurse,"So I hope everyone had a wonderful thanksgiving.  Have you ever wondered why things happen when they do? How many time have you gone to the store, got what you needed, return to your car and drove home! Well for me, thousands of time, but this time, some wacko took a baseball bat to my car, of course, I didn't have my cell phone with me, but lucky the store had camera's that caught it all, and there were police arresting someone for shoplifting. The derange man also got 2 other cars, I'm sure my car will be totaled. Both A Pillars, roof, both fender, hood, windshield, lights (LED), drivers and rear passenger doors, and all glass. Lucky for the video, and yes, the police tazzed the guy and handcuffed him. I'm driving the X2, but that doesn't belong to us any longer, my niece came into town for the holidays and LOVED the X2 and we did a lease swap on it, but she comes back on Friday to drive the it home.  I guess things happen for a reason, I have been fighting with BMW to fix me car, when the car sits over night and when you go start it, it's lurches/jumps like its not in neutral all the way. BMW says my car is fine and is normal, in BMW speak, no codes are being thrown so we aren't worrying about it. I'm sure if I told them I lost confidence in the car things would be different, so this 330 is my last NEW BMW. So what to get, it will be used, looked at two MB E63's both one owner cars have to say, they are FAST, and the V8 rumble is addicting. So the fun starts.  So criteria for the new car, used, max price $25K.  More news  Rick traded in his 328GT for a 2018 Honda CR-V EX-L, have no idea why he went with the Honda, the new Acura RDX is increditable we are now BMWless until my niece picks up the X2.",driving fighting belong fine im criteria hood idea told max niece say longer wonderful cell thousands came guy town police arent 2018 drivers bat back codes phone lights yes reason news traded wacko many led normal doesnt owner didnt video went ever pillars increditable someone return start arresting drive bmw bmwford mercedes starts neutral last new lucky hope took 25k x2 lease lurchesjumps glass man performance caught two shoplifting wondered picks roof handcuffed fender honda happen us fast passenger store well gone used baseball time guess would different friday get price confidence things doors fun worrying drove speak rick way course everyone cars got tazzed home sure swap rumercedesle rear looked windshield holidays loved fix go addicting totaled acura cameras thanksgiving derange says one like night also needed sits thrown e63s car 2 comes bmwless lost
56,"November 28, 2018  2:00AM",stickguy,"quite a change there, but whatever makes you happy. Probably won't be around long anyway.  bummer about your car, but in this case, for the best. I have had a few over the years where if they spontaneously burst into flames (while not parked in my garage of course) it would have not broken my heart.  Tough budget for something like an E63 though. Sure you want something that old or high miles?",burst want makes flames course probably aspiration e63 change anyway wont years garage spontaneously broken bummer budget sure miles tough happy case long something old quite though whatever like parked car would high around heart
57,"October 31, 2018  4:49PM",ab348,"The dealer I got my last few cars from has a waiting area that is similar with coffee and water but no snacks. I wish they didn't have the TV - it is always on some news channel and it drives me nuts, especially the repetition if you are there for more than 15 minutes. It is also immediately next to and open to the showroom so if they are busy it can get noisy and crowded. My dealer desperately needs a new building.",noisy needs showcomfort news cars got repetition snacks coffee drives tv channel immediately didnt always aspiration waiting nuts building water especially also area crowded next dealer desperately minutes get busy last new open 15 similar
58,"October 31, 2018  4:59PM",flightnurse," I've been to all 3 (soon 4) BMW dealers here in PHX, they are all the same, nice, comfortable, they have a self serve bar area with water, soda, in the morning they have pastries and the TV usually hsa some BMW propaganda playing.",usually ive 4 self comfortable bar hsa tv dealers propaganda serve water playing nice phx soon area soda pastries bmw 3 morning
59,"October 31, 2018  5:09PM",benjaminh,"Since I was the only one in the waiting area this morning, I just turned the volume on the TV all the way down with the remote that was right there. No chance of doing that in the huge and crowded Honda dealer waiting area. They don't give you the option of adjusting the blaring TVs that I recall.  The available snacks at the Acura dealer are a small thing, but they are nice—premium coffee, premium tea, bottled water, a variety of snack bars, chips, etc. I got a small bottle of water to put in my car's cup holder and a nutrigrain bar for under the armrest. Was probably a fluke that I was the only one there, but it was peaceful and I got a bit of work done. I also feel like they were more focused on me and my car. When I took my wife's CR-V a week ago for an oil change the Honda dealer didn't remember to reset the oil monitor. That's only a small thing, and I reset it at home, but it seemed like maybe a lack of attention to detail?  I just checked their price list, and a regular oil change service at Huffman Acura at Oxmoor is $45—which is only five bucks more than the Honda dealer iirc. As I said, my service was ""free"", but I haven't yet figured out why the list price before they did the NC was $65. Doesn't add up if synthetic oil is only $10 more, but probably I missed some fine print somewhere.  I imagine the regular oil change would be fine once my free ones are done, but I do like the idea of a little extra insurance with the extra good oil. Probably in a few years I'll be dazzled by a new model of car, but right now I'm hoping I'll enjoy driving this TLX for several years to come. Right now I feel like I'll probably try to drive a car that has paws from here on out, but we'll see....",driving nutrigrain litacurae free adjusting holder fine dont im available bucks week idea maintenance aaudiention volume chance several feel cup variety fluke premium work extra huge remote acurax dealer give blaring console 65 brand list huffman nc see reset enjoy armrest doesnt bar missed didnt 10 detail small maybe nice—premium drive oil regular good new right tvs took morning recall forded done five yet botacuraed imagine peaceful come years said snacks honda coffee add 45—which since well iirc crowded ones try paws would checked price botacurae snack turned figured synthetic way probably havent cars etc change got hoping home option somewhere ago tea bit tv ill print lack acura waiting put insurance water one like also thing area wifes car oxmoor rememercedeser chips dazzled thcadillac seemed bars
60,"October 31, 2018  5:12PM",stickguy,"Did you get tire rotation too?my dealer has 2 prices, with and without tires, and I think the price delta is about $20.",without toomy think safety safety rotation prices 20 dealer delta 2 get price
61,"October 31, 2018  5:20PM",benjaminh,Iirc they only gave me 4 oil changes and 2 tire rotations as part of the free service. And so I just did the oil change. I'm surprised they used the more expensive oil since it was on their dime. Hmmm....,hmmm 4 part free rotations im change safety maintenance gave changes surprised dime since iirc used expensive 2 oil
62,"October 31, 2018  5:28PM",benjaminh,This savagegeese guy says starting at 1 minute 30 seconds that synthetic is better than regular oil....,30 beaudier says guy 1 seconds regular oil minute synthetic starting savagegeese
63,"October 31, 2018  5:54PM",henryn,"I do believe pretty much everyone agrees by now that synthetic motor oil is superior to conventional. And the price delta for a DIY oil change is $10 or less. That is comparing a 5 quart jug of Mobil-1 to a premium conventional oil. I don't know that synthetic is necessary, but for any turbocharged engine I would say yes, necessary, and in most cases, required by the manufacturer to maintain your new car warranty.  Ford uses and recommends their own brand of semi-synthetic (or ""blended"") motor oil.",semisynthetic necessary superior synthetic yes dont everyone less ford comparing know much performance manufacturer uses change cases maintain maintenance recommends say 10 required premium performanced mobil1 5 preaudiy motor jug delta diy quart would car oil blended price new brand conventional agrees believe
64,"October 31, 2018  6:02PM",Mr_Shiftright,  Which is why he's working out of his dumpy garage at his house. Porsche just didn't want to hire him.,dumpy want working hire garage porsche didnt house hes
65,"October 31, 2018  6:47PM",stickguy,"I want one of those little model engines to keep on my desk to play with on conference calls.  For him, this was a pretty good video. Can’t really argue with his points.",really want litacurae play calls points video performances argue one ’ keep conference preaudiy good desk brand
66,"October 31, 2018  7:35PM",circlem,M-1 oil at Walmart is $25.47 for 5qt. 5W30!!,m1 walmart oil 5qt 2547 5w30
67,"October 31, 2018 11:04PM",roadburner, But no Mobil 1 grade carries LL-01 approval.,grade carries ll01 mobil 1 approval
68,"November  1, 2018 12:17AM",benjaminh,The dangers of old leather as illustrated by a 2007 Acura TL....    https://www.bachmanvolkswagen.com/inventory/used-2007-acura-tl-base-fwd-4dr-car-19uua66217a018023,old acura dangers illustrated haudipswwwbachmanvolkswagencominventoryused2007acuraacurabaseperformance4drcasubaru9uuaudi6217a018023 2007 comfort
69,"November  1, 2018 12:33AM",henryn," https://quirkyuncle.com/2013/09/12/diy-choosing-the-correct-motor-oil-for-your-bmw/  When I did this research a while back, the BMW-USA website had a list of approved synthetic oils for the US market that was dated January 2008. It listed several brands, classifying all of them as oils with a “BMW long-life rating of LL-01.” The BMW LL-01 spec oil options listed were:   Castrol Syntec European Formula SAE 0w-30 (rumor has it that this is the oil BMW relabels to sell as BMW Genuine Oil SAE 5w-30 Synthetic Oil)   Mobil 1 SAE 0w-40   Penzoil Platinum European Formula Ultra SAE 5w-30   Valvoline SynPower SAE 5w-30   What happened between 2008 and 2013 to make BMW stop listing several oil manufacturer options? I have no idea. However, if you go to the Mobil Oil website, right now in 2013, the Mobil 1 0w-40 oil specs still list Mobil 1 0w-40 as being BMW LL-01 compliant.",rumor synperformance mobil market rating manufacturer listed specs research idea several longlife brands 1 0w30 european sae list “ sell back still ultra however january ll01 stop happened platinum bmw oil right 2013 approved 0w40 make penzoil us website dated ” haudipsquirkyunclecobmw0130912diychoosinfordhecorrectmotoroilforyourbmw spec genuine listing options castrol synthetic 2008 bmwusa compliant valvoline go oils mercedesssifying syntec formula 5w30 relabels
70,"November  1, 2018 12:36AM",henryn," Some car manufacturers use a better quality leather than others. No idea about Acura.  I do know that Ford uses a really poor quality leather in their Lariat pickups. Very poor. And I can attest that older Caddys used some very good leather.  I still like the fake leather that VW uses, it seems to hold up really well.",cadillacs fake really ford comfort know still uses aaudiest quality idea use pickups acura lariat older beaudier like poor well volkswagen used car good seems hold others manufacturers
71,"November  1, 2018 12:49AM",benjaminh,Maintenance of leather is also a good idea. Every couple of years it should be treated iirc.,couple years treated maintenance good idea iirc also every comfort
72,"November  1, 2018  1:47AM",roadburner, Exactly; the leather interior of my 146k mile 1995 Club Sport still looks brand new.,exacacuray still mile club 1995 new performance looks comfort brand 146k comfort
73,"November  1, 2018  2:32AM",stickguy,"Not paying $4,300 for a car with seats like that and 192,000 miles on it.  has to be the maintenance. I sold my 2000 TL with 175,000 miles on it 3 years ago, and other than a few patina lines, seats were in great shape.",lines maintenance years miles 2000 bmw0 ago 175000 acura 192000 like sold secadillac great paying patina car shape 3
74,"November  1, 2018  4:17AM",henryn,"They sell a lot of fancy products these days. Leather cleaners, leather conditioners, etc, etc. I still like saddle soap.  But I don't think a lack of maintenance accounts for all of the Ford pickups out there with totally shot leather seats.",shot days sell saddle maintenance think dont ford comfort still fancy etc pickups accounts lot lack tocomforty soap like secadillac products cleaners conditioners
